Timestamp,1. Which age group are you in?,2. What is your gender?,4. How would you describe your style?,3. Where do you live?,"5. Do you prefer Eastern or Western clothing, or both?",6. Pick your wardrobe essentials (Choose all that apply):,7. Who inspires your fashion choices?,8. How often do you buy new clothes?,9. Where do you usually buy clothes?,10. When do you like to shop the most?,11. What do you do when you have a fashion emergency?,12. Do you prefer designer brands for special events? ,"13. If you could choose one store to get unlimited clothes from, which would it be?",14. Has your style changed over age? ,15. Do you find it easy to find clothes that suit both your style and age?,16. Does society expect you to dress differently as you age? ,17. What is your average spending on clothes?,18. How much of your income goes to buying clothes?,"19. On a scale from 1 to 10, how much do you follow seasonal fashion trends?"
10/5/2024 12:59,25-34 (Class with a dash of fun),Male,Trendy (Up-to-date with fashion),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Blazers/Jackets, Sneakers","Instagram (Influencers and hashtags guide me), Celebrities",Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)",When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","Yes, but I choose to wear what I like","Over PKR 10,000",11-20% (Occasional updates to my wardrobe),10
10/6/2024 15:26,25-34 (Class with a dash of fun),Female,Fusion (A mix of styles),Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Dresses/Skirts, Blazers/Jackets, Abayas, Sneakers, Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Boutiques (Unique and custom styles), Tailor-made (Clothes made just for you), Thrift stores (Landa Bazaar finds are the real gems)",Sale season (Taking advantage of discounts),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","A little, but I still dress how I want","Over PKR 10,000",21% or more (I invest significantly in my style),5
10/7/2024 0:53,25-34 (Class with a dash of fun),Male,"Casual (Relaxed, everyday wear), Formal (Dressed up for occasions), Trendy (Up-to-date with fashion)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Blazers/Jackets, Sneakers, Baggy shirts with cargo pants, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)","When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts)",I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","Yes, but I choose to wear what I like","Over PKR 10,000",11-20% (I like to keep my wardrobe updated with fashion trends),9
10/7/2024 23:57,18-24 (The trendsetter years),Female,"Casual (Relaxed, everyday wear), Formal (Dressed up for occasions), Fusion (A mix of styles)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Dresses/Skirts, Sneakers, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Friends and family,Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Tailor-made (Clothes made just for you)","When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts)",Borrow something from a friend (When I need help),Sometimes (Only when I feel it's necessary),"Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",yes,"Yes, it’s easy for me","No, people are accepting of my style choices","PKR 5000-10,000",6-10% (I occasionally refresh my wardrobe with new items),3
10/8/2024 22:09,35-44 (Balancing style and wisdom),Male,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Pinterest (It’s a mood board thing),Only when I have to (When my clothes are worn out),Local markets (Affordable and convenient),Sale season (Taking advantage of discounts),I accept my fashion mistakes (I’m comfortable with my style),"Yes, always!  (I appreciate high-quality brands)",Brands (I appreciate quality brands),no,"No, I struggle to find what I like","No, people are accepting of my style choices","Over PKR 10,000","0-5% (I stick to the basics, just the essentials)",5
10/10/2024 14:13,18-24 (The trendsetter years),Male,"Casual (Relaxed, everyday wear), Formal (Dressed up for occasions), Sporty (Comfort and movement), Fusion (A mix of styles)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans",Friends and family,Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Online stores (Daraz, Outfitters, etc)","Eid!  (For festive outfits), Wedding season (For special occasion shopping)",I accept my fashion mistakes (I’m comfortable with my style),"No, I prefer custom-made or local market options (Support local artisans)","Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",no,"Yes, it’s easy for me","No, people are accepting of my style choices",PKR 2000-5000,6-10% (I occasionally refresh my wardrobe with new items),3
10/10/2024 19:52,Under 18 (Rocking the teen trends),Female,"Casual (Relaxed, everyday wear), Sporty (Comfort and movement), Trendy (Up-to-date with fashion)",Islamabad (Stylish and serene),"Western (Jeans, t-shirts, or modern outfits)","Shalwar Kameez, Jeans, Dresses/Skirts, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)",Friends and family,Only when I have to (When my clothes are worn out),"Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.), Tailor-made (Clothes made just for you), Hand-me-downs (Old clothes from family)","When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts)",Layer my clothes (To cover any issues),"No, I prefer custom-made or local market options (Support local artisans)",Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","No, people are accepting of my style choices",PKR 2000-5000,"0-5% (I stick to the basics, just the essentials)",1
10/10/2024 20:03,Under 18 (Rocking the teen trends),Male,Fusion (A mix of styles),Islamabad (Stylish and serene),"Western (Jeans, t-shirts, or modern outfits)","Shalwar Kameez, Jeans, Blazers/Jackets, Sneakers, Sportswear/Gym Wear, Caps/Hats, Polo shirt, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Friends and family,Every month (I enjoy regular shopping),"Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.)",When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","A little, but I still dress how I want","PKR 5000-10,000",6-10% (I occasionally refresh my wardrobe with new items),7
10/12/2024 20:03,45-54 (Style with experience),Male,"Casual (Relaxed, everyday wear), Sporty (Comfort and movement)",Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Sneakers, Sportswear/Gym Wear, Polo shirt",Friends and family,Only when I have to (When my clothes are worn out),"Designer stores (Brands like Khaadi or Amir Adnan), Thrift stores (Landa Bazaar finds are the real gems)",When I’m bored (Shopping for fun),I accept my fashion mistakes (I’m comfortable with my style),"Yes, always!  (I appreciate high-quality brands)",Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","Yes, but I choose to wear what I like","PKR 5000-10,000",11-20% (I like to keep my wardrobe updated with fashion trends),4
10/13/2024 8:10,25-34 (Class with a dash of fun),Male,"Casual (Relaxed, everyday wear), Formal (Dressed up for occasions), Traditional (Cultural and classic), Trendy (Up-to-date with fashion)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Sneakers, Baggy shirts with cargo pants, Polo shirt, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)","Instagram (Influencers and hashtags guide me), Celebrities",Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc)","Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter)",I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","Yes, but I choose to wear what I like","Over PKR 10,000",11-20% (I like to keep my wardrobe updated with fashion trends),9
10/14/2024 13:30,Under 18 (Rocking the teen trends),Female,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Blazers/Jackets, Sneakers, Baggy shirts with cargo pants, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)","Instagram (Influencers and hashtags guide me), Friends and family",Every 3-6 months (I plan my shopping throughout the year),"Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Boutiques (Unique and custom styles), Tailor-made (Clothes made just for you)","Eid!  (For festive outfits), When the seasons change (Updating for summer or winter)",I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","A little, but I still dress how I want","Over PKR 10,000",11-20% (I like to keep my wardrobe updated with fashion trends),5
10/14/2024 13:34,Under 18 (Rocking the teen trends),Female,"Casual (Relaxed, everyday wear), Fusion (A mix of styles)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Blazers/Jackets, Sneakers, Sportswear/Gym Wear, Baggy shirts with cargo pants, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)","Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein), Instagram (Influencers and hashtags guide me), Friends and family",Every 3-6 months (I plan my shopping throughout the year),"Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Boutiques (Unique and custom styles), Tailor-made (Clothes made just for you)","Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter)",I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","Yes, but I choose to wear what I like","PKR 5000-10,000",6-10% (I occasionally refresh my wardrobe with new items),6
10/14/2024 13:47,18-24 (The trendsetter years),Female,"Casual (Relaxed, everyday wear)",Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Kurtas, Abayas, Sneakers, Accessories  (Watches, handbags, jewelry)","Instagram (Influencers and hashtags guide me), Pinterest (It’s a mood board thing), Friends and family",Every 3-6 months (I plan my shopping throughout the year),"Designer stores (Brands like Khaadi or Amir Adnan), Tailor-made (Clothes made just for you)","Eid!  (For festive outfits), Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts)",Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","No, people are accepting of my style choices",PKR 2000-5000,"0-5% (I stick to the basics, just the essentials)",9
10/14/2024 13:56,18-24 (The trendsetter years),Female,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Kurtas, Jeans, Baggy shirts with cargo pants, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)","Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein), Instagram (Influencers and hashtags guide me)",Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Tailor-made (Clothes made just for you)","Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts)",Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","A little, but I still dress how I want","PKR 5000-10,000",6-10% (I occasionally refresh my wardrobe with new items),6
10/14/2024 13:58,18-24 (The trendsetter years),Male,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Polo shirt, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Friends and family,Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Online stores (Daraz, Outfitters, etc)","Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter)",I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Sometimes, it can be difficult","Yes, but I choose to wear what I like","PKR 5000-10,000",6-10% (I occasionally refresh my wardrobe with new items),5
10/14/2024 14:00,18-24 (The trendsetter years),Male,"Casual (Relaxed, everyday wear), Fusion (A mix of styles)",Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Blazers/Jackets, Sneakers, Baggy shirts with cargo pants, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)","Eid!  (For festive outfits), Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts), When I’m bored (Shopping for fun)",Borrow something from a friend (When I need help),"No, I prefer custom-made or local market options (Support local artisans)","Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",yes,"Yes, it’s easy for me","No, people are accepting of my style choices","PKR 5000-10,000",6-10% (I occasionally refresh my wardrobe with new items),4
10/14/2024 14:03,25-34 (Class with a dash of fun),Male,Other (I have my own unique style),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Polo shirt, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Friends and family,"Rarely (I prefer long-lasting, timeless pieces)","Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc)","Eid!  (For festive outfits), Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter)",I accept my fashion mistakes (I’m comfortable with my style),"No, I prefer custom-made or local market options (Support local artisans)",Brands (I appreciate quality brands),no,"No, I struggle to find what I like","A little, but I still dress how I want","Over PKR 10,000",6-10% (I occasionally refresh my wardrobe with new items),1
10/14/2024 14:03,18-24 (The trendsetter years),Male,"Casual (Relaxed, everyday wear), Sporty (Comfort and movement), Fusion (A mix of styles)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Sneakers, Sportswear/Gym Wear, Caps/Hats, Polo shirt, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Friends and family,Only when I have to (When my clothes are worn out),"Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.)","Eid!  (For festive outfits), Wedding season (For special occasion shopping)",Borrow something from a friend (When I need help),"Yes, always!  (I appreciate high-quality brands)",Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","A little, but I still dress how I want","Over PKR 10,000",6-10% (I occasionally refresh my wardrobe with new items),3
10/14/2024 14:13,18-24 (The trendsetter years),Female,"Casual (Relaxed, everyday wear), Fusion (A mix of styles)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Dresses/Skirts, Blazers/Jackets, Sneakers, Sportswear/Gym Wear, Baggy shirts with cargo pants, Polo shirt, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)","Instagram (Influencers and hashtags guide me), Pinterest (It’s a mood board thing), Celebrities",Only when I have to (When my clothes are worn out),"Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc)","Eid!  (For festive outfits), When the seasons change (Updating for summer or winter)",Layer my clothes (To cover any issues),"Yes, always!  (I appreciate high-quality brands)",Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","Yes, but I choose to wear what I like","PKR 5000-10,000",6-10% (I occasionally refresh my wardrobe with new items),7
10/14/2024 14:26,18-24 (The trendsetter years),Female,"Casual (Relaxed, everyday wear)",Punjab (Where the real fashion shows happen!),Eastern (Shalwar Kameez all day),Shalwar Kameez,"Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein), Celebrities",Only when I have to (When my clothes are worn out),"Local markets (Affordable and convenient), Online stores (Daraz, Outfitters, etc)","Eid!  (For festive outfits), Wedding season (For special occasion shopping)",Use safety pins (For quick fixes),"No, I prefer custom-made or local market options (Support local artisans)","Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",yes,"No, I struggle to find what I like","No, people are accepting of my style choices",PKR 2000-5000,"0-5% (I stick to the basics, just the essentials)",1
10/14/2024 14:46,25-34 (Class with a dash of fun),Female,"Casual (Relaxed, everyday wear), Formal (Dressed up for occasions), Traditional (Cultural and classic), Trendy (Up-to-date with fashion), Fusion (A mix of styles)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Dresses/Skirts, Sneakers, Sportswear/Gym Wear, Baggy shirts with cargo pants, Polo shirt, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)","Instagram (Influencers and hashtags guide me), Pinterest (It’s a mood board thing)",Every month (I enjoy regular shopping),"Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Boutiques (Unique and custom styles)","When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts), When I’m bored (Shopping for fun)",I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","Yes, but I choose to wear what I like","Over PKR 10,000","0-5% (I stick to the basics, just the essentials)",8
10/14/2024 16:42,Under 18 (Rocking the teen trends),Male,"Casual (Relaxed, everyday wear), Formal (Dressed up for occasions), Traditional (Cultural and classic), Classic (Timeless and elegant)",Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Sneakers, Sportswear/Gym Wear, Caps/Hats, Baggy shirts with cargo pants, Polo shirt, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Pinterest (It’s a mood board thing),Only when I have to (When my clothes are worn out),"Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you), Thrift stores (Landa Bazaar finds are the real gems), Hand-me-downs (Old clothes from family)","Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter)",I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Thrift stores (A treasure hunt every time),yes,"No, I struggle to find what I like","Yes, but I choose to wear what I like","Over PKR 10,000",11-20% (I like to keep my wardrobe updated with fashion trends),1
10/14/2024 20:28,18-24 (The trendsetter years),Male,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Celebrities,"Rarely (I prefer long-lasting, timeless pieces)",Hand-me-downs (Old clothes from family),Eid!  (For festive outfits),Use safety pins (For quick fixes),"No, I prefer custom-made or local market options (Support local artisans)",Brands (I appreciate quality brands),maybe,"Sometimes, it can be difficult","A little, but I still dress how I want",Under PKR 2000,6-10% (I occasionally refresh my wardrobe with new items),8
10/14/2024 20:35,35-44 (Balancing style and wisdom),Female,"Casual (Relaxed, everyday wear), Formal (Dressed up for occasions), Trendy (Up-to-date with fashion), Classic (Timeless and elegant), Fusion (A mix of styles)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Dresses/Skirts, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)","Instagram (Influencers and hashtags guide me), Friends and family",Every 3-6 months (I plan my shopping throughout the year),"Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Boutiques (Unique and custom styles), Tailor-made (Clothes made just for you)","Eid!  (For festive outfits), Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts)",Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","A little, but I still dress how I want","Over PKR 10,000",6-10% (I occasionally refresh my wardrobe with new items),7
10/14/2024 20:37,Under 18 (Rocking the teen trends),Male,Classic (Timeless and elegant),Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),Polo shirt,Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein),Every 3-6 months (I plan my shopping throughout the year),Tailor-made (Clothes made just for you),When the seasons change (Updating for summer or winter),Use safety pins (For quick fixes),"No, I prefer custom-made or local market options (Support local artisans)",Thrift stores (A treasure hunt every time),maybe,"Yes, it’s easy for me","Yes, but I choose to wear what I like","Over PKR 10,000","21% or more (Fashion is important to me, and I invest significantly in it)",10
10/14/2024 22:43,45-54 (Style with experience),Female,"Trendy (Up-to-date with fashion), Other (I have my own unique style)",Punjab (Where the real fashion shows happen!),Eastern (Shalwar Kameez all day),"Shalwar Kameez, Abayas, Sneakers, Accessories  (Watches, handbags, jewelry)",Friends and family,Every 3-6 months (I plan my shopping throughout the year),Designer stores (Brands like Khaadi or Amir Adnan),Sale season (Taking advantage of discounts),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","No, people are accepting of my style choices",PKR 2000-5000,"0-5% (I stick to the basics, just the essentials)",4
10/14/2024 23:11,25-34 (Class with a dash of fun),Male,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Eastern (Shalwar Kameez all day),"Shalwar Kameez, Jeans, Dresses/Skirts, Sneakers, Polo shirt",Friends and family,"Rarely (I prefer long-lasting, timeless pieces)",Local markets (Affordable and convenient),When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),"Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",maybe,"Yes, it’s easy for me","Yes, but I choose to wear what I like",PKR 2000-5000,"0-5% (I stick to the basics, just the essentials)",5
10/14/2024 23:22,25-34 (Class with a dash of fun),Male,Formal (Dressed up for occasions),Punjab (Where the real fashion shows happen!),"Western (Jeans, t-shirts, or modern outfits)","Shalwar Kameez, Jeans, Polo shirt, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Friends and family,"Rarely (I prefer long-lasting, timeless pieces)",Local markets (Affordable and convenient),When the seasons change (Updating for summer or winter),Borrow something from a friend (When I need help),Sometimes (Only when I feel it's necessary),Thrift stores (A treasure hunt every time),maybe,"Yes, it’s easy for me","Yes, but I choose to wear what I like","PKR 5000-10,000","21% or more (Fashion is important to me, and I invest significantly in it)",5
10/14/2024 23:31,45-54 (Style with experience),Male,"Casual (Relaxed, everyday wear)",Other (Overseas),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Sportswear/Gym Wear, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Pinterest (It’s a mood board thing),Every 3-6 months (I plan my shopping throughout the year),"Malls (Dolmen, Emporium, etc.)",Sale season (Taking advantage of discounts),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","A little, but I still dress how I want","Over PKR 10,000","0-5% (I stick to the basics, just the essentials)",4
10/15/2024 7:47,18-24 (The trendsetter years),Male,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Sneakers, Polo shirt, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Instagram (Influencers and hashtags guide me),"Rarely (I prefer long-lasting, timeless pieces)","Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.), Hand-me-downs (Old clothes from family)",When the seasons change (Updating for summer or winter),Borrow something from a friend (When I need help),"No, I prefer custom-made or local market options (Support local artisans)",Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","Yes, but I choose to wear what I like",Under PKR 2000,"0-5% (I stick to the basics, just the essentials)",3
10/15/2024 11:05,45-54 (Style with experience),Male,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Polo shirt, Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Friends and family,Only when I have to (When my clothes are worn out),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.)","Eid!  (For festive outfits), Wedding season (For special occasion shopping)",Borrow something from a friend (When I need help),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","No, people are accepting of my style choices","PKR 5000-10,000","0-5% (I stick to the basics, just the essentials)",8
10/15/2024 11:56,18-24 (The trendsetter years),Female,"Casual (Relaxed, everyday wear), Formal (Dressed up for occasions), Traditional (Cultural and classic), Trendy (Up-to-date with fashion)",Sindh (Because Karachi vibes are unmatched),"Western (Jeans, t-shirts, or modern outfits)","Shalwar Kameez, Kurtas, Jeans, Dresses/Skirts, Blazers/Jackets, Baggy shirts with cargo pants, Polo shirt, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)","Instagram (Influencers and hashtags guide me), Pinterest (It’s a mood board thing), Celebrities",Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Boutiques (Unique and custom styles), Thrift stores (Landa Bazaar finds are the real gems)","Eid!  (For festive outfits), Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts)",Layer my clothes (To cover any issues),Sometimes (Only when I feel it's necessary),Thrift stores (A treasure hunt every time),yes,"Sometimes, it can be difficult","Yes, but I choose to wear what I like",Under PKR 2000,6-10% (I occasionally refresh my wardrobe with new items),8
10/15/2024 13:20,18-24 (The trendsetter years),Female,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Accessories  (Watches, handbags, jewelry), Casual Wear (Hoodies, cardigans, sweatshirts, trousers, etc.)",Pinterest (It’s a mood board thing),Every month (I enjoy regular shopping),"Local markets (Affordable and convenient), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)","Eid!  (For festive outfits), Wedding season (For special occasion shopping), When the seasons change (Updating for summer or winter), Sale season (Taking advantage of discounts)",Layer my clothes (To cover any issues),Sometimes (Only when I feel it's necessary),"Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",yes,"Sometimes, it can be difficult","A little, but I still dress how I want","PKR 5000-10,000",11-20% (I like to keep my wardrobe updated with fashion trends),8
